image_path,label
Kather_texture_2016_image_tiles_5000\04_LYMPHO\12DE3_CRC-Prim-HE-01_007.tif_Row_451_Col_1.tif,4
Kather_texture_2016_augmented\12DE3_CRC-Prim-HE-01_007_aug_0.jpg,4
Kather_texture_2016_augmented\12DE3_CRC-Prim-HE-01_007_aug_1.jpg,4
Kather_texture_2016_augmented\12DE3_CRC-Prim-HE-01_007_aug_2.jpg,4
Kather_texture_2016_augmented\12DE3_CRC-Prim-HE-01_007_aug_3.jpg,4
Kather_texture_2016_augmented\12DE3_CRC-Prim-HE-01_007_aug_4.jpg,4
Kather_texture_2016_image_tiles_5000\05_DEBRIS\12166_CRC-Prim-HE-07_002.tif_Row_301_Col_1.tif,5
Kather_texture_2016_augmented\12166_CRC-Prim-HE-07_002_aug_0.jpg,5
Kather_texture_2016_augmented\12166_CRC-Prim-HE-07_002_aug_1.jpg,5
Kather_texture_2016_augmented\12166_CRC-Prim-HE-07_002_aug_2.jpg,5
Kather_texture_2016_augmented\12166_CRC-Prim-HE-07_002_aug_3.jpg,5
Kather_texture_2016_augmented\12166_CRC-Prim-HE-07_002_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\02_STROMA\10EBD_CRC-Prim-HE-03_015.tif_Row_1_Col_601.tif,2
Kather_texture_2016_augmented\10EBD_CRC-Prim-HE-03_015_aug_0.jpg,2
Kather_texture_2016_augmented\10EBD_CRC-Prim-HE-03_015_aug_1.jpg,2
Kather_texture_2016_augmented\10EBD_CRC-Prim-HE-03_015_aug_2.jpg,2
Kather_texture_2016_augmented\10EBD_CRC-Prim-HE-03_015_aug_3.jpg,2
Kather_texture_2016_augmented\10EBD_CRC-Prim-HE-03_015_aug_4.jpg,2
Kather_texture_2016_image_tiles_5000\04_LYMPHO\2954_CRC-Prim-HE-08_011.tif_Row_1_Col_1.tif,4
Kather_texture_2016_augmented\2954_CRC-Prim-HE-08_011_aug_0.jpg,4
Kather_texture_2016_augmented\2954_CRC-Prim-HE-08_011_aug_1.jpg,4
Kather_texture_2016_augmented\2954_CRC-Prim-HE-08_011_aug_2.jpg,4
Kather_texture_2016_augmented\2954_CRC-Prim-HE-08_011_aug_3.jpg,4
Kather_texture_2016_augmented\2954_CRC-Prim-HE-08_011_aug_4.jpg,4
Kather_texture_2016_image_tiles_5000\06_MUCOSA\17FB6_CRC-Prim-HE-06_001.tif_Row_1_Col_1.tif,6
Kather_texture_2016_augmented\17FB6_CRC-Prim-HE-06_001_aug_0.jpg,6
Kather_texture_2016_augmented\17FB6_CRC-Prim-HE-06_001_aug_1.jpg,6
Kather_texture_2016_augmented\17FB6_CRC-Prim-HE-06_001_aug_2.jpg,6
Kather_texture_2016_augmented\17FB6_CRC-Prim-HE-06_001_aug_3.jpg,6
Kather_texture_2016_augmented\17FB6_CRC-Prim-HE-06_001_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\01_TUMOR\13721_CRC-Prim-HE-08_001.tif_Row_1_Col_451.tif,1
Kather_texture_2016_augmented\13721_CRC-Prim-HE-08_001_aug_0.jpg,1
Kather_texture_2016_augmented\13721_CRC-Prim-HE-08_001_aug_1.jpg,1
Kather_texture_2016_augmented\13721_CRC-Prim-HE-08_001_aug_2.jpg,1
Kather_texture_2016_augmented\13721_CRC-Prim-HE-08_001_aug_3.jpg,1
Kather_texture_2016_augmented\13721_CRC-Prim-HE-08_001_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\01_TUMOR\2642_CRC-Prim-HE-07_025.tif_Row_1351_Col_601.tif,1
Kather_texture_2016_augmented\2642_CRC-Prim-HE-07_025_aug_0.jpg,1
Kather_texture_2016_augmented\2642_CRC-Prim-HE-07_025_aug_1.jpg,1
Kather_texture_2016_augmented\2642_CRC-Prim-HE-07_025_aug_2.jpg,1
Kather_texture_2016_augmented\2642_CRC-Prim-HE-07_025_aug_3.jpg,1
Kather_texture_2016_augmented\2642_CRC-Prim-HE-07_025_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\16830_CRC-Prim-HE-03_012.tif_Row_2851_Col_1051.tif,7
Kather_texture_2016_augmented\16830_CRC-Prim-HE-03_012_aug_0.jpg,7
Kather_texture_2016_augmented\16830_CRC-Prim-HE-03_012_aug_1.jpg,7
Kather_texture_2016_augmented\16830_CRC-Prim-HE-03_012_aug_2.jpg,7
Kather_texture_2016_augmented\16830_CRC-Prim-HE-03_012_aug_3.jpg,7
Kather_texture_2016_augmented\16830_CRC-Prim-HE-03_012_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\05_DEBRIS\142DE_CRC-Prim-HE-05_031.tif_Row_451_Col_301.tif,5
Kather_texture_2016_augmented\142DE_CRC-Prim-HE-05_031_aug_0.jpg,5
Kather_texture_2016_augmented\142DE_CRC-Prim-HE-05_031_aug_1.jpg,5
Kather_texture_2016_augmented\142DE_CRC-Prim-HE-05_031_aug_2.jpg,5
Kather_texture_2016_augmented\142DE_CRC-Prim-HE-05_031_aug_3.jpg,5
Kather_texture_2016_augmented\142DE_CRC-Prim-HE-05_031_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\04_LYMPHO\18512_CRC-Prim-HE-01_004.tif_Row_451_Col_1201.tif,4
Kather_texture_2016_augmented\18512_CRC-Prim-HE-01_004_aug_0.jpg,4
Kather_texture_2016_augmented\18512_CRC-Prim-HE-01_004_aug_1.jpg,4
Kather_texture_2016_augmented\18512_CRC-Prim-HE-01_004_aug_2.jpg,4
Kather_texture_2016_augmented\18512_CRC-Prim-HE-01_004_aug_3.jpg,4
Kather_texture_2016_augmented\18512_CRC-Prim-HE-01_004_aug_4.jpg,4
Kather_texture_2016_image_tiles_5000\02_STROMA\13F7F_CRC-Prim-HE-04.tif_Row_1351_Col_3451.tif,2
Kather_texture_2016_augmented\13F7F_CRC-Prim-HE-04_aug_0.jpg,2
Kather_texture_2016_augmented\13F7F_CRC-Prim-HE-04_aug_1.jpg,2
Kather_texture_2016_augmented\13F7F_CRC-Prim-HE-04_aug_2.jpg,2
Kather_texture_2016_augmented\13F7F_CRC-Prim-HE-04_aug_3.jpg,2
Kather_texture_2016_augmented\13F7F_CRC-Prim-HE-04_aug_4.jpg,2
Kather_texture_2016_image_tiles_5000\05_DEBRIS\5F35_CRC-Prim-HE-08_024.tif_Row_1651_Col_301.tif,5
Kather_texture_2016_augmented\5F35_CRC-Prim-HE-08_024_aug_0.jpg,5
Kather_texture_2016_augmented\5F35_CRC-Prim-HE-08_024_aug_1.jpg,5
Kather_texture_2016_augmented\5F35_CRC-Prim-HE-08_024_aug_2.jpg,5
Kather_texture_2016_augmented\5F35_CRC-Prim-HE-08_024_aug_3.jpg,5
Kather_texture_2016_augmented\5F35_CRC-Prim-HE-08_024_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\1353B_CRC-Prim-HE-10_020.tif_Row_901_Col_2701.tif,7
Kather_texture_2016_augmented\1353B_CRC-Prim-HE-10_020_aug_0.jpg,7
Kather_texture_2016_augmented\1353B_CRC-Prim-HE-10_020_aug_1.jpg,7
Kather_texture_2016_augmented\1353B_CRC-Prim-HE-10_020_aug_2.jpg,7
Kather_texture_2016_augmented\1353B_CRC-Prim-HE-10_020_aug_3.jpg,7
Kather_texture_2016_augmented\1353B_CRC-Prim-HE-10_020_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\02_STROMA\10A1B_CRC-Prim-HE-02_029.tif_Row_901_Col_751.tif,2
Kather_texture_2016_augmented\10A1B_CRC-Prim-HE-02_029_aug_0.jpg,2
Kather_texture_2016_augmented\10A1B_CRC-Prim-HE-02_029_aug_1.jpg,2
Kather_texture_2016_augmented\10A1B_CRC-Prim-HE-02_029_aug_2.jpg,2
Kather_texture_2016_augmented\10A1B_CRC-Prim-HE-02_029_aug_3.jpg,2
Kather_texture_2016_augmented\10A1B_CRC-Prim-HE-02_029_aug_4.jpg,2
Kather_texture_2016_image_tiles_5000\01_TUMOR\6EE3_CRC-Prim-HE-04_034.tif_Row_1_Col_451.tif,1
Kather_texture_2016_augmented\6EE3_CRC-Prim-HE-04_034_aug_0.jpg,1
Kather_texture_2016_augmented\6EE3_CRC-Prim-HE-04_034_aug_1.jpg,1
Kather_texture_2016_augmented\6EE3_CRC-Prim-HE-04_034_aug_2.jpg,1
Kather_texture_2016_augmented\6EE3_CRC-Prim-HE-04_034_aug_3.jpg,1
Kather_texture_2016_augmented\6EE3_CRC-Prim-HE-04_034_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\03_COMPLEX\13FDC_CRC-Prim-HE-10_003.tif_Row_301_Col_151.tif,3
Kather_texture_2016_augmented\13FDC_CRC-Prim-HE-10_003_aug_0.jpg,3
Kather_texture_2016_augmented\13FDC_CRC-Prim-HE-10_003_aug_1.jpg,3
Kather_texture_2016_augmented\13FDC_CRC-Prim-HE-10_003_aug_2.jpg,3
Kather_texture_2016_augmented\13FDC_CRC-Prim-HE-10_003_aug_3.jpg,3
Kather_texture_2016_augmented\13FDC_CRC-Prim-HE-10_003_aug_4.jpg,3
Kather_texture_2016_image_tiles_5000\04_LYMPHO\923A_CRC-Prim-HE-09_019.tif_Row_751_Col_151.tif,4
Kather_texture_2016_augmented\923A_CRC-Prim-HE-09_019_aug_0.jpg,4
Kather_texture_2016_augmented\923A_CRC-Prim-HE-09_019_aug_1.jpg,4
Kather_texture_2016_augmented\923A_CRC-Prim-HE-09_019_aug_2.jpg,4
Kather_texture_2016_augmented\923A_CRC-Prim-HE-09_019_aug_3.jpg,4
Kather_texture_2016_augmented\923A_CRC-Prim-HE-09_019_aug_4.jpg,4
Kather_texture_2016_image_tiles_5000\03_COMPLEX\16799_CRC-Prim-HE-07_019.tif_Row_1051_Col_301.tif,3
Kather_texture_2016_augmented\16799_CRC-Prim-HE-07_019_aug_0.jpg,3
Kather_texture_2016_augmented\16799_CRC-Prim-HE-07_019_aug_1.jpg,3
Kather_texture_2016_augmented\16799_CRC-Prim-HE-07_019_aug_2.jpg,3
Kather_texture_2016_augmented\16799_CRC-Prim-HE-07_019_aug_3.jpg,3
Kather_texture_2016_augmented\16799_CRC-Prim-HE-07_019_aug_4.jpg,3
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\142CF_CRC-Prim-HE-05_032.tif_Row_601_Col_4501.tif,7
Kather_texture_2016_augmented\142CF_CRC-Prim-HE-05_032_aug_0.jpg,7
Kather_texture_2016_augmented\142CF_CRC-Prim-HE-05_032_aug_1.jpg,7
Kather_texture_2016_augmented\142CF_CRC-Prim-HE-05_032_aug_2.jpg,7
Kather_texture_2016_augmented\142CF_CRC-Prim-HE-05_032_aug_3.jpg,7
Kather_texture_2016_augmented\142CF_CRC-Prim-HE-05_032_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\06_MUCOSA\1510A_CRC-Prim-HE-07_001_copy.tif_Row_601_Col_451.tif,6
Kather_texture_2016_augmented\1510A_CRC-Prim-HE-07_001_copy_aug_0.jpg,6
Kather_texture_2016_augmented\1510A_CRC-Prim-HE-07_001_copy_aug_1.jpg,6
Kather_texture_2016_augmented\1510A_CRC-Prim-HE-07_001_copy_aug_2.jpg,6
Kather_texture_2016_augmented\1510A_CRC-Prim-HE-07_001_copy_aug_3.jpg,6
Kather_texture_2016_augmented\1510A_CRC-Prim-HE-07_001_copy_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\02_STROMA\117A3_CRC-Prim-HE-06_034.tif_Row_451_Col_301.tif,2
Kather_texture_2016_augmented\117A3_CRC-Prim-HE-06_034_aug_0.jpg,2
Kather_texture_2016_augmented\117A3_CRC-Prim-HE-06_034_aug_1.jpg,2
Kather_texture_2016_augmented\117A3_CRC-Prim-HE-06_034_aug_2.jpg,2
Kather_texture_2016_augmented\117A3_CRC-Prim-HE-06_034_aug_3.jpg,2
Kather_texture_2016_augmented\117A3_CRC-Prim-HE-06_034_aug_4.jpg,2
Kather_texture_2016_image_tiles_5000\08_EMPTY\14A9E_CRC-Prim-HE-06_005.tif_Row_1951_Col_5701.tif,8
Kather_texture_2016_augmented\14A9E_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\14A9E_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\14A9E_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\14A9E_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\14A9E_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\08_EMPTY\15187_CRC-Prim-HE-06_005.tif_Row_6151_Col_3301.tif,8
Kather_texture_2016_augmented\15187_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\15187_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\15187_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\15187_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\15187_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\05_DEBRIS\15971_CRC-Prim-HE-08_021.tif_Row_1_Col_301.tif,5
Kather_texture_2016_augmented\15971_CRC-Prim-HE-08_021_aug_0.jpg,5
Kather_texture_2016_augmented\15971_CRC-Prim-HE-08_021_aug_1.jpg,5
Kather_texture_2016_augmented\15971_CRC-Prim-HE-08_021_aug_2.jpg,5
Kather_texture_2016_augmented\15971_CRC-Prim-HE-08_021_aug_3.jpg,5
Kather_texture_2016_augmented\15971_CRC-Prim-HE-08_021_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\01_TUMOR\165B6_CRC-Prim-HE-01_032.tif_Row_1_Col_1.tif,1
Kather_texture_2016_augmented\165B6_CRC-Prim-HE-01_032_aug_0.jpg,1
Kather_texture_2016_augmented\165B6_CRC-Prim-HE-01_032_aug_1.jpg,1
Kather_texture_2016_augmented\165B6_CRC-Prim-HE-01_032_aug_2.jpg,1
Kather_texture_2016_augmented\165B6_CRC-Prim-HE-01_032_aug_3.jpg,1
Kather_texture_2016_augmented\165B6_CRC-Prim-HE-01_032_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\01_TUMOR\1614_CRC-Prim-HE-10_029.tif_Row_1_Col_301.tif,1
Kather_texture_2016_augmented\1614_CRC-Prim-HE-10_029_aug_0.jpg,1
Kather_texture_2016_augmented\1614_CRC-Prim-HE-10_029_aug_1.jpg,1
Kather_texture_2016_augmented\1614_CRC-Prim-HE-10_029_aug_2.jpg,1
Kather_texture_2016_augmented\1614_CRC-Prim-HE-10_029_aug_3.jpg,1
Kather_texture_2016_augmented\1614_CRC-Prim-HE-10_029_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\04_LYMPHO\1434D_CRC-Prim-HE-05_022.tif_Row_601_Col_151.tif,4
Kather_texture_2016_augmented\1434D_CRC-Prim-HE-05_022_aug_0.jpg,4
Kather_texture_2016_augmented\1434D_CRC-Prim-HE-05_022_aug_1.jpg,4
Kather_texture_2016_augmented\1434D_CRC-Prim-HE-05_022_aug_2.jpg,4
Kather_texture_2016_augmented\1434D_CRC-Prim-HE-05_022_aug_3.jpg,4
Kather_texture_2016_augmented\1434D_CRC-Prim-HE-05_022_aug_4.jpg,4
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\102C5_CRC-Prim-HE-05_032.tif_Row_751_Col_4651.tif,7
Kather_texture_2016_augmented\102C5_CRC-Prim-HE-05_032_aug_0.jpg,7
Kather_texture_2016_augmented\102C5_CRC-Prim-HE-05_032_aug_1.jpg,7
Kather_texture_2016_augmented\102C5_CRC-Prim-HE-05_032_aug_2.jpg,7
Kather_texture_2016_augmented\102C5_CRC-Prim-HE-05_032_aug_3.jpg,7
Kather_texture_2016_augmented\102C5_CRC-Prim-HE-05_032_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\08_EMPTY\12380_CRC-Prim-HE-06_005.tif_Row_4651_Col_2401.tif,8
Kather_texture_2016_augmented\12380_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\12380_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\12380_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\12380_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\12380_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\06_MUCOSA\16E11_CRC-Prim-HE-07_001.tif_Row_901_Col_601.tif,6
Kather_texture_2016_augmented\16E11_CRC-Prim-HE-07_001_aug_0.jpg,6
Kather_texture_2016_augmented\16E11_CRC-Prim-HE-07_001_aug_1.jpg,6
Kather_texture_2016_augmented\16E11_CRC-Prim-HE-07_001_aug_2.jpg,6
Kather_texture_2016_augmented\16E11_CRC-Prim-HE-07_001_aug_3.jpg,6
Kather_texture_2016_augmented\16E11_CRC-Prim-HE-07_001_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\05_DEBRIS\32CE_CRC-Prim-HE-10_018.tif_Row_1_Col_451.tif,5
Kather_texture_2016_augmented\32CE_CRC-Prim-HE-10_018_aug_0.jpg,5
Kather_texture_2016_augmented\32CE_CRC-Prim-HE-10_018_aug_1.jpg,5
Kather_texture_2016_augmented\32CE_CRC-Prim-HE-10_018_aug_2.jpg,5
Kather_texture_2016_augmented\32CE_CRC-Prim-HE-10_018_aug_3.jpg,5
Kather_texture_2016_augmented\32CE_CRC-Prim-HE-10_018_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\05_DEBRIS\14E20_CRC-Prim-HE-03_024.tif_Row_751_Col_151.tif,5
Kather_texture_2016_augmented\14E20_CRC-Prim-HE-03_024_aug_0.jpg,5
Kather_texture_2016_augmented\14E20_CRC-Prim-HE-03_024_aug_1.jpg,5
Kather_texture_2016_augmented\14E20_CRC-Prim-HE-03_024_aug_2.jpg,5
Kather_texture_2016_augmented\14E20_CRC-Prim-HE-03_024_aug_3.jpg,5
Kather_texture_2016_augmented\14E20_CRC-Prim-HE-03_024_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\05_DEBRIS\16DC_CRC-Prim-HE-04_002.tif_Row_151_Col_1.tif,5
Kather_texture_2016_augmented\16DC_CRC-Prim-HE-04_002_aug_0.jpg,5
Kather_texture_2016_augmented\16DC_CRC-Prim-HE-04_002_aug_1.jpg,5
Kather_texture_2016_augmented\16DC_CRC-Prim-HE-04_002_aug_2.jpg,5
Kather_texture_2016_augmented\16DC_CRC-Prim-HE-04_002_aug_3.jpg,5
Kather_texture_2016_augmented\16DC_CRC-Prim-HE-04_002_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\06_MUCOSA\17E1E_CRC-Prim-HE-06_032.tif_Row_1_Col_301.tif,6
Kather_texture_2016_augmented\17E1E_CRC-Prim-HE-06_032_aug_0.jpg,6
Kather_texture_2016_augmented\17E1E_CRC-Prim-HE-06_032_aug_1.jpg,6
Kather_texture_2016_augmented\17E1E_CRC-Prim-HE-06_032_aug_2.jpg,6
Kather_texture_2016_augmented\17E1E_CRC-Prim-HE-06_032_aug_3.jpg,6
Kather_texture_2016_augmented\17E1E_CRC-Prim-HE-06_032_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\06_MUCOSA\17C93_CRC-Prim-HE-07_001.tif_Row_751_Col_301.tif,6
Kather_texture_2016_augmented\17C93_CRC-Prim-HE-07_001_aug_0.jpg,6
Kather_texture_2016_augmented\17C93_CRC-Prim-HE-07_001_aug_1.jpg,6
Kather_texture_2016_augmented\17C93_CRC-Prim-HE-07_001_aug_2.jpg,6
Kather_texture_2016_augmented\17C93_CRC-Prim-HE-07_001_aug_3.jpg,6
Kather_texture_2016_augmented\17C93_CRC-Prim-HE-07_001_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10183_CRC-Prim-HE-07.tif_Row_1051_Col_2701.tif,7
Kather_texture_2016_augmented\10183_CRC-Prim-HE-07_aug_0.jpg,7
Kather_texture_2016_augmented\10183_CRC-Prim-HE-07_aug_1.jpg,7
Kather_texture_2016_augmented\10183_CRC-Prim-HE-07_aug_2.jpg,7
Kather_texture_2016_augmented\10183_CRC-Prim-HE-07_aug_3.jpg,7
Kather_texture_2016_augmented\10183_CRC-Prim-HE-07_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\01_TUMOR\3D6A_CRC-Prim-HE-09_025.tif_Row_451_Col_1.tif,1
Kather_texture_2016_augmented\3D6A_CRC-Prim-HE-09_025_aug_0.jpg,1
Kather_texture_2016_augmented\3D6A_CRC-Prim-HE-09_025_aug_1.jpg,1
Kather_texture_2016_augmented\3D6A_CRC-Prim-HE-09_025_aug_2.jpg,1
Kather_texture_2016_augmented\3D6A_CRC-Prim-HE-09_025_aug_3.jpg,1
Kather_texture_2016_augmented\3D6A_CRC-Prim-HE-09_025_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\08_EMPTY\10997_CRC-Prim-HE-06_005.tif_Row_5251_Col_4501.tif,8
Kather_texture_2016_augmented\10997_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\10997_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\10997_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\10997_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\10997_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\08_EMPTY\13AB6_CRC-Prim-HE-06_005.tif_Row_4051_Col_8101.tif,8
Kather_texture_2016_augmented\13AB6_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\13AB6_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\13AB6_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\13AB6_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\13AB6_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\05_DEBRIS\6B89_CRC-Prim-HE-08_024.tif_Row_901_Col_151.tif,5
Kather_texture_2016_augmented\6B89_CRC-Prim-HE-08_024_aug_0.jpg,5
Kather_texture_2016_augmented\6B89_CRC-Prim-HE-08_024_aug_1.jpg,5
Kather_texture_2016_augmented\6B89_CRC-Prim-HE-08_024_aug_2.jpg,5
Kather_texture_2016_augmented\6B89_CRC-Prim-HE-08_024_aug_3.jpg,5
Kather_texture_2016_augmented\6B89_CRC-Prim-HE-08_024_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\05_DEBRIS\1A18_CRC-Prim-HE-08_021.tif_Row_1351_Col_1201.tif,5
Kather_texture_2016_augmented\1A18_CRC-Prim-HE-08_021_aug_0.jpg,5
Kather_texture_2016_augmented\1A18_CRC-Prim-HE-08_021_aug_1.jpg,5
Kather_texture_2016_augmented\1A18_CRC-Prim-HE-08_021_aug_2.jpg,5
Kather_texture_2016_augmented\1A18_CRC-Prim-HE-08_021_aug_3.jpg,5
Kather_texture_2016_augmented\1A18_CRC-Prim-HE-08_021_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\02_STROMA\10560_CRC-Prim-HE-03_015.tif_Row_301_Col_451.tif,2
Kather_texture_2016_augmented\10560_CRC-Prim-HE-03_015_aug_0.jpg,2
Kather_texture_2016_augmented\10560_CRC-Prim-HE-03_015_aug_1.jpg,2
Kather_texture_2016_augmented\10560_CRC-Prim-HE-03_015_aug_2.jpg,2
Kather_texture_2016_augmented\10560_CRC-Prim-HE-03_015_aug_3.jpg,2
Kather_texture_2016_augmented\10560_CRC-Prim-HE-03_015_aug_4.jpg,2
Kather_texture_2016_image_tiles_5000\08_EMPTY\11EB6_CRC-Prim-HE-06_005.tif_Row_6451_Col_8101.tif,8
Kather_texture_2016_augmented\11EB6_CRC-Prim-HE-06_005_aug_0.jpg,8
Kather_texture_2016_augmented\11EB6_CRC-Prim-HE-06_005_aug_1.jpg,8
Kather_texture_2016_augmented\11EB6_CRC-Prim-HE-06_005_aug_2.jpg,8
Kather_texture_2016_augmented\11EB6_CRC-Prim-HE-06_005_aug_3.jpg,8
Kather_texture_2016_augmented\11EB6_CRC-Prim-HE-06_005_aug_4.jpg,8
Kather_texture_2016_image_tiles_5000\02_STROMA\1136B_CRC-Prim-HE-05_002b.tif_Row_451_Col_301.tif,2
Kather_texture_2016_augmented\1136B_CRC-Prim-HE-05_002b_aug_0.jpg,2
Kather_texture_2016_augmented\1136B_CRC-Prim-HE-05_002b_aug_1.jpg,2
Kather_texture_2016_augmented\1136B_CRC-Prim-HE-05_002b_aug_2.jpg,2
Kather_texture_2016_augmented\1136B_CRC-Prim-HE-05_002b_aug_3.jpg,2
Kather_texture_2016_augmented\1136B_CRC-Prim-HE-05_002b_aug_4.jpg,2
